Company Name,Domain,Industry,Location,Headcount,Linkedin,Description,Company Type,Tags
Emerson,emerson.com,Industrial Machinery Manufacturing,"St. Louis, Missouri, United States",10001+,https://www.linkedin.com/company/emerson,"Emerson is a provider of automation and control systems, offering industrial solutions and engineering services.",public company,""
Festo,festo.com,Automation Machinery Manufacturing,"Esslingen, Germany",10001+,https://www.linkedin.com/company/festo,"Festo is a provider of industrial automation and manufacturing solutions, specializing in automation technology and engineering.",privately held,""
KUKA,kuka.com,Automation Machinery Manufacturing,"Augsburg, Germany",10001+,https://www.linkedin.com/company/kukaglobal,KUKA is a industrial robotics company that specializes in automation technology and manufacturing solutions.,public company,""
IMM,imm.com,Advertising Services,"Boulder, Colorado, United States",51-200,https://www.linkedin.com/company/-imm,IMM is a manufacturing company that specializes in industrial machinery production and automation.,privately held,""
SICK,sick.com,Automation Machinery Manufacturing,"Waldkirch, Germany",10001+,https://www.linkedin.com/company/sicksensorintelligence,SICK is a sensor technology company that provides innovative solutions for industrial automation and measurement applications.,privately held,""
HARTING,harting.com,Automation Machinery Manufacturing,"Espelkamp, Germany",5001-10000,https://www.linkedin.com/company/harting,HARTING is an industrial connectivity company that specializes in high-quality electrical connectors and automation technology solutions for various sectors.,privately held,""
RobotShop,robotshop.com,Computers and Electronics Manufacturing,"Mirabel, Canada",51-200,https://www.linkedin.com/company/robotshop,"RobotShop is a robotics company that specializes in electronic components, robotic kits, and automation technology.",privately held,""
Erfal,erfal.de,Textile Manufacturing,"Falkenstein, Germany",201-500,https://www.linkedin.com/company/erfal-gmbh-co-kg,Erfal is an engineering company specializing in manufacturing industrial equipment and automation solutions.,self owned,""
Lincoln Electric,lincolnelectric.com,Machinery Manufacturing,"Cleveland, Ohio, United States",10001+,https://www.linkedin.com/company/lincoln-electric,Lincoln Electric is a welding equipment company that provides manufacturing solutions and industrial machinery with a focus on automation technology.,public company,""
Metaprom,metaprom.ru,,"15319, Cantal, France",,,Metaprom is an industrial equipment and production technology company offering manufacturing solutions and industry services.,,""
SOMMER Antriebs- und Funktechnik,sommer.eu,"Appliances, Electrical, and Electronics Manufacturing","Kirchheim unter Teck, Germany",501-1000,https://www.linkedin.com/company/sommergmbh,SOMMER Antriebs- und Funktechnik is a company specializing in automation and drive technology for industrial equipment.,privately held,""
Stäubli,staubli.com,Automation Machinery Manufacturing,Eswatini,5001-10000,https://www.linkedin.com/company/staubli,Stäubli is a leader in automation and robotics solutions for industrial manufacturing.,privately held,""
Balluff,balluff.com,Automation Machinery Manufacturing,"Neuhausen auf den Fildern, Germany",1001-5000,https://www.linkedin.com/company/balluff-emea,"Balluff is a provider of industrial automation solutions specializing in sensors, machine vision, and manufacturing technology.",privately held,""
Beckhoff Automation,beckhoff.com,Automation Machinery Manufacturing,"Verl, Germany",5001-10000,https://www.linkedin.com/company/beckhoff-automation,Beckhoff Automation is a provider of industrial automation solutions and control systems.,public company,""
Schaeffler,schaeffler.com,Manufacturing,"Herzogenaurach, Germany",10001+,https://www.linkedin.com/company/schaeffler,Schaeffler is an automotive and industrial manufacturing company that specializes in precision engineering and innovative bearing solutions for various applications.,public company,""
Cognex,cognex.com,Automation Machinery Manufacturing,"Natick, Massachusetts, United States",1001-5000,https://www.linkedin.com/company/cognex-corporation,Cognex is a machine vision company that specializes in industrial automation and manufacturing technology.,public company,""
富士電機（株）,fujielectric.co.jp,"Appliances, Electrical, and Electronics Manufacturing",Japan,10001+,https://www.linkedin.com/company/%e5%af%8c%e5%a3%ab%e9%9b%bb%e6%a9%9f%ef%bc%88%e6%a0%aa%ef%bc%89,"富士電機（株）is an electrical equipment company that provides engineering solutions, power systems, and industrial automation.",,""
佛山市特福德自动化科技有限公司,tefude.com,Machinery Manufacturing,China,,https://www.linkedin.com/company/%e4%bd%9b%e5%b1%b1%e5%b8%82%e7%89%b9%e7%a6%8f%e5%be%b7%e8%87%aa%e5%8a%a8%e5%8c%96%e7%a7%91%e6%8a%80%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8,佛山市特福德自动化科技有限公司 is a company in the Industrial Automation sector that specializes in providing technology solutions for manufacturing processes.,,""
OMRON,omron.com,Automation Machinery Manufacturing,"Hoofddorp, Netherlands",1001-5000,https://www.linkedin.com/company/omron,"OMRON is a company specializing in automation, robotics, industrial technology, healthcare devices, and sensors.",public company,""
DELTA,deltaww.com,"Appliances, Electrical, and Electronics Manufacturing",Taiwan,10001+,https://www.linkedin.com/company/delta-electronics,DELTA is a technology solutions company that specializes in industrial automation and hardware products.,public company,""
Allied Electric Company,alliedelec.com,Computer Networking Products,"Hillsboro, Oregon, United States",1-10,https://www.linkedin.com/company/allied-electric-company,Allied Electronics & Automation is a distributor of electronic and industrial automation components.,,""
Robotic Industries Association,robotics.org,Retail Office Equipment,"Ann Arbor, Michigan, United States",10001+,https://www.linkedin.com/company/sky-tv-network-entertainment,Robotic Industries Association is a robotics organization that focuses on advancing automation and technology in manufacturing.,self employed,""
SMC,smc.eu,Automation Machinery Manufacturing,"Noblesville, Indiana, United States",10001+,https://www.linkedin.com/company/smc,SMC Corporation is a company specializing in industrial automation solutions with a focus on pneumatics for manufacturing and engineering applications.,public company,""
Automation.com,automation.com,Automation Machinery Manufacturing,"United States, North Carolina",11-50,https://www.linkedin.com/company/automation-com,Automation.com is a technology company that focuses on providing industrial automation solutions.,privately held,""
SPS Italia,spsitalia.it,Automation Machinery Manufacturing,"Parma, Italy",11-50,https://www.linkedin.com/company/sps-italia,SPS Italia is a provider of industrial automation and manufacturing solutions with expertise in robotics and control systems.,,""
クロダルマ（株）,fuchu.or.jp,Textile Manufacturing,Japan,51-200,https://www.linkedin.com/company/%e3%82%af%e3%83%ad%e3%83%80%e3%83%ab%e3%83%9e%ef%bc%88%e6%a0%aa%ef%bc%89,"クロダルマ（株）is a manufacturing company that specializes in robotics, industrial automation, and technology.",,""
"Haas Automation, Inc.",haascnc.com,Machinery Manufacturing,"Oxnard, California, United States",1001-5000,https://www.linkedin.com/company/haas-automation,Haas Automation is a manufacturing company that specializes in CNC machines for metalworking with automation technology.,privately held,""
Sonepar Deutschland,sonepar.de,Wholesale,"Düsseldorf, Germany",5001-10000,https://www.linkedin.com/company/sonepardeutschland,"Sonepar Deutschland is a wholesale distributor that specializes in electrical products and solutions for various industries, offering a wide range of services from supply chain management to energy solutions.",public company,""
Wonderware,wonderware.com,Software Development,"Lake Forest, California, United States",501-1000,https://www.linkedin.com/company/wonderware,Wonderware Software is a provider of industrial automation software solutions for manufacturing technology and process control systems.,public company,""
FIAC,fiac.com,Fine Art,"Paris, France",201-500,https://www.linkedin.com/company/fiac-,FIAC is a provider of industrial machinery and automation solutions.,,""
